No.,Nama,Alamat,Negeri,Daerah,Poskod
102,MASJID SULTAN ABU BAKAR,MASJID SULTAN ABU BAKARBANDAR RAUB,PAHANG,RAUB,27600
103,"MASJID HJ AG HASHIM, PEKAN SIPITANG","PEJABAT JHEAINS, BANGUNAN URUSETIA LAMA, P/S 133",SABAH,BPB - SIPITANG,89857
104,MASJID AL-ALAMI,"MASJID AL ALAMI MITC AYER KEROH,MELAKA",MELAKA,MELAKA TENGAH,
105,MASJID AR-RASYIDIN MASJID DAERAH ALOR GAJAH,,MELAKA,ALOR GAJAH,78000
106,MASJID ABU BAKAR TEMERLOH,BANDAR TEMERLOH,PAHANG,TEMERLOH,28000
107,MASJID ABU BAKAR MENTAKAB,BANDAR MENTAKAB,PAHANG,TEMERLOH,28400
108,MASJID DAERAH SEBERANG PERAI TENGAH,BANDAR PERDA14000 BUKIT MERTAJAM,PULAU PINANG,SEBERANG PERAI TENGAH,
109,MASJID DAERAH SEBERANG PERAI UTARA,TELOK AIR TAWAR BUTTERWORTH,PULAU PINANG,BUTTERWORTH,
110,"MASJID DARUL IMAN, KPG SENARI","KPG SENARI, JALAN BAKO, KUCHING",SARAWAK,KUCHING,
111,"MASJID DARUL IKHWAN, KPG MUARA TEBAS","KPG MUARA TEBAS,KUCHING",SARAWAK,KUCHING,
112,MASJID BANDARAYA KUCHING,"JLN DATUK AJIBAH ABOL, KUCHING",SARAWAK,KUCHING,
113,MASJID TENGKU SULAIMAN,KAMPUNG KETARI,PAHANG,BENTONG,28700
114,MASJID SULTAN HAJI AHMAD SHAH,BANDAR BENTONG,PAHANG,BENTONG,28700
115,MASJID JAMEK BANDAR KARAK,BANDAR KARAK,PAHANG,BENTONG,28600
116,MASJID SULTAN YUSSUF IZUDDIN SHAH,MASJID DAERAH SRI ISKANDAR,PERAK,SERI ISKANDAR,32610
117,"MASJID DARUL HANA, PANGKALAN POLIS MARIN","PANGKALAN POLIS MARIN, BINTAWA, KUCHING",SARAWAK,KUCHING,
118,"MASJID DARUSSADAH, KPG TABUAN HILIR","KPG TABUAN HILIR, KUCHING",SARAWAK,PADAWAN,
119,"MASJID DARUL FALAH, KPG TABUAN HAJI DRAHMAN","KPG TABUAN HAJI DRAHMAN, JLN FOOCHOW NO. 1, KUCHING",SARAWAK,BAU,
120,"MASJID DARUL MUSYARAFAH, KPG MUHIBBAH","KPG MUHIBBAH, SEBERANG PENDING, KUCHING",SARAWAK,KUCHING,
121,"MASJID DARUL ABIDIN, KPG TANJONG BAKO","KPG TANJONG BAKO, SEBERANG PENDING, KUCHING",SARAWAK,KUCHING,
122,"MASJID DARUL AKHIRAT, KPG BERADEK","KPG BERADEK, SEBERANG GOEBILT, KUCHING",SARAWAK,KUCHING,
123,"MASJID DARUL AQSA, KPG SEGEDUP","KPG SEGEDUP, JLN BATU KAWA, KUCHING",SARAWAK,BAU,
124,"MASJID TENGKU MUHAMMAD FARIS PETRA, JAJAHAN K.KRAI",DAERAH KUALA KRAI,KELANTAN,KUALA KRAI,18000
125,"MASJID SULTAN MUHAMMAD III, JAJAHAN PASIR MAS",DAERAH PASIR MAS,KELANTAN,PASIR MAS,17000
126,MASJID SULTAN YAHYA PETRA BANDAR MACHANG,DAERAH MACHANG,KELANTAN,MACHANG,18500
127,MASJID SELAT MELAKA,"MASJID SELAT MELAKA, BANDAR HILIR,MELAKA",MELAKA,MELAKA TENGAH,
128,MASJID DARUL IMAN,"KAMPUNG MASJID, BAU",SARAWAK,BAU,
129,MASJID KG. KURNIA SAKTI,KG. KURNIA SAKTI,JOHOR,TANGKAK,84000
130,MASJID DARUL EHSAN,"KAMPUNG BUSO, BAU",SARAWAK,BAU,
131,MASJID NURUL ASHIKIN,"KAMPUNG LIDAH TANAH, BAU",SARAWAK,BAU,
132,MASJID JAMEK ISMAILI JAJAHAN TUMPAT,MASJID JAMEK ISMAILI JAJAHAN TUMPAT,KELANTAN,TUMPAT,
133,"MASJID MAHMOODI, BANDAR BACHOK",DAERAH PERUPOK,KELANTAN,BACHOK,16300
134,MASJID SULTAN ISMAIL PETRA,DAERAH KUBANG KERIAN,KELANTAN,KOTA BHARU,16150
135,MASJID JAMEK ISMAIL PETRA TANAH MERAH,BANDAR TANAH MERAH,KELANTAN,TANAH MERAH,17500
136,MASJID SULTAN MUHAMMAD I,DAERAH JELI,KELANTAN,JELI,17600
137,MASJID JAMEK IBRAHIMI PASIR PUTEH,DAERAH LIMBONGAN,KELANTAN,PASIR PUTEH,16800
138,MASJID TENGKU MUHAMMAD FAIZ PETRA,DAERAH GALAS,KELANTAN,GUA MUSANG,18300
139,"MASJID D`RAJA LONG YUNUS, LANGGAR",DAERAH KOTA BAHARU,KELANTAN,KOTA BHARU,15200
140,"MASJID SULTAN MUHAMMAD II, TELIPOT",JALAN TELIPOT,KELANTAN,KOTA BHARU,15150
141,"MASJID BANDAR ANNUR, GUCHIL",DAERAH KUALA KRAI,KELANTAN,KUALA KRAI,18000
142,MASJID AS-SALAM,DAERAH KEMUMIN,KELANTAN,KOTA BHARU,16100
143,"MASJID AT-TAQWA, TAMAN PELANGI","JLN SRI PELANGI, TAMAN PELANGI",JOHOR,JOHOR BAHRU,
144,MASJID BANDAR KLUANG,"JALAN SEKOLAH,KLUANG, JOHOR.",JOHOR,KLUANG,
145,MASJID BANDAR ENDAU,JLN MASJID,JOHOR,MERSING,86900
146,MASJID SULTAN ISKANDAR,JLN MASJID,JOHOR,MERSING,86800
